Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Link
Wick,100,,pieces,0.146269,USD,,NatureGarden,,2025-04-27,,0,,https://app.inventora.com/materials/5JNPGbh2z2b7AVbwKC9cUF/details
Joy Wax,2,,pieces,26.568934,USD,,NatureGarden,,2025-04-27,,0,,https://app.inventora.com/materials/v9daCGUqcrUde5w8VxWZUH/details
Candle Jar,60,,pieces,0.783065,USD,,NatureGarden,,2025-04-27,,0,,https://app.inventora.com/materials/joB778CfxhgC8KYNHnx1bu/details
Fregrance,16,,oz,1.618452,USD,,NatureGarden,,2025-04-27,,0,,https://app.inventora.com/materials/7e1VRj3FsfLeSaut5f9jFp/details
Wick Stickers,1000,,pieces,0.027306,USD,,NatureGarden,,2025-04-27,,0,,https://app.inventora.com/materials/2sxFkHj2Hob83hTuyRoVrh/details
Jox Waxx,20,,lbs,2.656893,USD,,NatureGarden,,2025-04-27,,0,,https://app.inventora.com/materials/8GM3p7tKiDAcF9Apvb2asp/details
Sugar,20,,lbs,0.864,USD,,Costco,,2025-04-27,,0,,https://app.inventora.com/materials/6S2C6jDwdxZjoozTcyZuRb/details
Baking Soda,27,,lbs,0.657778,USD,,Costco,,2025-04-27,,0,,https://app.inventora.com/materials/jZCkGFbqRfF1zNSPniy6AW/details
Poly 80,21,,oz,0.709048,USD,,Amazon,,2025-04-27,,0,,https://app.inventora.com/materials/7i7b9EcvgeU1eDNnMgb2oD/details
Grapeseed Oil,14,,lbs,2.92,USD,,Amazon,,2025-04-27,,0,,https://app.inventora.com/materials/vyQiDYyRxhSaSFcGBjvktR/details
Arrow Root,15,,lbs,1.599333,USD,,Amazon,,2025-04-27,,0,,https://app.inventora.com/materials/7fEV27HaVuezHc8eedy41f/details
Kaolin Clay,2,,lbs,10.49,USD,,Amazon,,2025-04-27,,0,,https://app.inventora.com/materials/6L1PvruSMS6ubAe7BwR6AT/details
Citric Acid,10,,lbs,3.998,USD,,Amazon,,2025-04-27,,0,,https://app.inventora.com/materials/6wwgSvmnUFEghgxEtCWipP/details
SLSA,1,,lbs,19,USD,,Amazon,,2025-04-27,,0,,https://app.inventora.com/materials/agFLx1RRCBh1TtuSSZAHrn/details
Conventional No Stir RSPO Palm Oil,30,,lbs,2.224679,USD,,Soapers Choice,,2025-04-18,,0,,https://app.inventora.com/materials/dYp8fD7t9K59KSs8z1rwdL/details
COCONUT 76,44,,lbs,2.882187,USD,,Soapers Choice,,2025-04-18,,0,,https://app.inventora.com/materials/cfuQdZDYZ5xfCytFgko5Tf/details
AVOCADO OIL - COSMETIC,7,,lbs,3.561611,USD,,Soapers Choice,,2025-04-18,,0,,https://app.inventora.com/materials/h6nKL8QK7hDRKsU3neYgBM/details
CASTOR OIL-USP,7,,lbs,3.41602,USD,,Soapers Choice,,2025-04-18,,0,,https://app.inventora.com/materials/eUdLpdj99rUpm35YMgnzKF/details
Olive Oil,606,,oz,0.09981,USD,,Junglejims Natural Foods,,2025-04-18,,0,,https://app.inventora.com/materials/2wxEThA1dzafahK9aoJ255/details
Sunflower Oil,1014,,oz,0.074562,USD,,Junglejims Natural Foods,,2025-04-18,,0,,https://app.inventora.com/materials/ef8Zj4CeG1HrPvVSWU4zf4/details
Lye,50,,lbs,1.411309,USD,,Junglejims Natural Foods,,2025-04-18,,0,,https://app.inventora.com/materials/bA5QrexYzzPPAFqxg7MqkU/details
Soap Kraft Box,1500,,pieces,0.278229,USD,,Junglejims Natural Foods,,2025-04-18,,0,,https://app.inventora.com/materials/vGbQ4HJdR8oT35PJRPWo58/details
