Order Number,Supplier,Location,Product,SKU,Unit Type,Case Size,Quantity,Unit Price,Total Price,Shipping,Tax,Discounts,Currency,Status,Reference Number,Notes,Expected Date,Placed Date,Received Date,Link
#1068,Amazon,Default Location,Poly 80,,weight.oz,21,1,14.89,14.89,,,,USD,received,,,,2025-04-27,2025-04-25,https://app.inventora.com/supply-orders/mm7Fo3GnN1suD8dKrKUWL3/details
#1068,Amazon,Default Location,Grapeseed Oil,,weight.lbs,7,2,20.44,40.88,,,,USD,received,,,,2025-04-27,2025-04-25,https://app.inventora.com/supply-orders/mm7Fo3GnN1suD8dKrKUWL3/details
#1068,Amazon,Default Location,Arrow Root,,weight.lbs,15,1,23.99,23.99,,,,USD,received,,,,2025-04-27,2025-04-25,https://app.inventora.com/supply-orders/mm7Fo3GnN1suD8dKrKUWL3/details
#1068,Amazon,Default Location,Kaolin Clay,,weight.lbs,,2,10.49,20.98,,,,USD,received,,,,2025-04-27,2025-04-25,https://app.inventora.com/supply-orders/mm7Fo3GnN1suD8dKrKUWL3/details
#1068,Amazon,Default Location,Citric Acid,,weight.lbs,5,2,19.99,39.98,,,,USD,received,,,,2025-04-27,2025-04-25,https://app.inventora.com/supply-orders/mm7Fo3GnN1suD8dKrKUWL3/details
#1068,Amazon,Default Location,SLSA,,weight.lbs,,1,19,19,,,,USD,received,,,,2025-04-27,2025-04-25,https://app.inventora.com/supply-orders/mm7Fo3GnN1suD8dKrKUWL3/details
#1067,Costco,Default Location,Baking Soda,,weight.lbs,13.5,2,8.88,17.76,,,,USD,received,,,,0025-04-27,2025-04-27,https://app.inventora.com/supply-orders/pYDSsYwYmwx7WC8AHQtK41/details
#1067,Costco,Default Location,Sugar,,weight.lbs,10,2,8.64,17.28,,,,USD,received,,,,0025-04-27,2025-04-27,https://app.inventora.com/supply-orders/pYDSsYwYmwx7WC8AHQtK41/details
#1066,NatureGarden,Default Location,Wick,,pieces,100,1,10.49,10.49,28.09,10.26,25,USD,received,,,,2025-04-23,2025-04-26,https://app.inventora.com/supply-orders/trs65ykzPJvHyK5PrEjgxG/details
#1066,NatureGarden,Default Location,Candle Jar,,pieces,12,5,9.07,45.35,28.09,10.26,25,USD,received,,,,2025-04-23,2025-04-26,https://app.inventora.com/supply-orders/trs65ykzPJvHyK5PrEjgxG/details
#1066,NatureGarden,Default Location,Fregrance,,weight.oz,16,1,22.63,22.63,28.09,10.26,25,USD,received,,,,2025-04-23,2025-04-26,https://app.inventora.com/supply-orders/trs65ykzPJvHyK5PrEjgxG/details
#1066,NatureGarden,Default Location,Wick Stickers,,pieces,1000,1,24.15,24.15,28.09,10.26,25,USD,received,,,,2025-04-23,2025-04-26,https://app.inventora.com/supply-orders/trs65ykzPJvHyK5PrEjgxG/details
#1066,NatureGarden,Default Location,Jox Waxx,,weight.lbs,10,2,25.99,51.98,28.09,10.26,25,USD,received,,,,2025-04-23,2025-04-26,https://app.inventora.com/supply-orders/trs65ykzPJvHyK5PrEjgxG/details
#1065,Junglejims Natural Foods,Default Location,Olive Oil,,weight.oz,101,6,10,60,,5,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/tFUEVHEpSYRd9ueKPqUgCx/details
#1065,Junglejims Natural Foods,Default Location,Sunflower Oil,,weight.oz,169,6,12.50,75,,5,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/tFUEVHEpSYRd9ueKPqUgCx/details
#1065,Junglejims Natural Foods,Default Location,Lye,,weight.lbs,50,1,70,70,,5,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/tFUEVHEpSYRd9ueKPqUgCx/details
#1065,Junglejims Natural Foods,Default Location,Soap Kraft Box,,pieces,1500,1,414,414,,5,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/tFUEVHEpSYRd9ueKPqUgCx/details
#1064,Soapers Choice,Default Location,Conventional No Stir RSPO Palm Oil,,weight.lbs,30,1,38.10,38.1,73.3,14.79,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/ewFjNj49oZn3kDDihEJRqp/details
#1064,Soapers Choice,Default Location,COCONUT 76,,weight.lbs,44,1,82.28,82.28,73.3,14.79,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/ewFjNj49oZn3kDDihEJRqp/details
#1064,Soapers Choice,Default Location,AVOCADO OIL - COSMETIC,,weight.lbs,7,1,17.43,17.43,73.3,14.79,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/ewFjNj49oZn3kDDihEJRqp/details
#1064,Soapers Choice,Default Location,CASTOR OIL-USP,,weight.lbs,7,1,16.50,16.5,73.3,14.79,,USD,received,,,,2025-04-18,2025-04-18,https://app.inventora.com/supply-orders/ewFjNj49oZn3kDDihEJRqp/details
